Frm,Track,xc,yc,w,h,Velocity(kmph)
15,5,2491,404,86,49,0.932459274674298
15,16,1549,1395,46,45,30.2808546315565
16,12,3469,1911,176,97,2.83680974357625
16,6,2478,456,88,50,0.640404808608386
16,13,1835,1324,39,91,12.6374934652066
16,4,2391,391,83,51,1.98565633678517
16,8,2526,643,75,65,2.17130841164374
16,10,2691,661,90,61,2.41667668165404
16,15,3632,647,107,42,3.22625474902371
16,14,1563,1399,108,45,25.8173175022958
16,11,2310,610,93,136,1.78052975127048
16,3,2250,995,132,73,37.3526040623429
16,7,2825,648,84,61,0.524287287469118
16,1,2416,1445,94,130,26.1500853527359
16,9,2436,516,73,62,0.0077891276958546
16,2,1882,859,133,70,36.098935928332
16,5,2491,404,86,49,0.716865662720002
16,16,1559,1397,47,46,31.0179183420199
17,12,3468,1910,176,96,3.17428665222804
17,6,2478,456,88,50,0.540377568764192
17,13,1836,1322,40,92,11.3032089136286
17,4,2391,391,83,51,1.61244932790886
17,8,2527,643,75,65,2.49930733236988
17,10,2691,661,90,61,2.00230978242948
17,15,3632,647,108,42,2.57019900308694
17,14,1571,1402,106,45,25.7286053886089
17,11,2310,610,92,135,1.23376875605706
17,3,2263,996,132,72,37.6947653418968
17,7,2825,648,84,61,0.333358981335867
17,1,2419,1453,94,130,25.9792671345263
17,9,2436,516,73,62,-0.0560777417938771
17,2,1894,860,134,71,35.9924301014112
17,19,3303,740,47,31,0
17,5,2491,404,86,49,0.54378323341682
17,16,1568,1399,44,47,30.3668389846526
18,12,3466,1911,176,98,3.98287815189611
18,6,2477,456,88,49,1.10933814001792
18,13,1836,1320,40,93,10.0609479566403
18,4,2391,391,83,51,1.30506085911037
18,8,2527,643,75,65,2.10584491384651
18,10,2691,661,90,61,1.65868088630926
18,15,3633,647,110,43,2.76601863535332
18,14,1581,1404,106,45,26.72980017472
18,11,2310,611,91,135,1.44842704213978
18,3,2274,996,133,72,36.6332467861129
18,7,2825,648,84,60,0.181526319777075
18,1,2422,1462,95,129,26.4498932703942
18,9,2436,516,73,62,-0.105017708695762
18,2,1905,860,133,71,35.2199666472054
18,19,3307,743,43,33,14.527318068524
18,5,2491,405,86,49,1.05601766023026
18,16,1577,1401,44,47,29.8728641666176
19,12,3468,1911,176,98,4.49783596534017
19,6,2478,456,88,50,1.57581454423385
19,13,1838,1318,39,96,9.55726832271453
19,4,2391,391,83,51,1.04943278147317
19,8,2527,643,75,65,1.77388772998998
19,10,2692,661,90,61,1.99610092659442
19,15,3633,647,110,43,2.23366130548248
19,14,1590,1407,107,45,27.1037191418897
19,11,2310,611,91,134,1.0076061055954
19,3,2288,995,133,71,37.6479334909284
19,7,2825,648,84,60,0.0603120956481533
19,1,2425,1469,95,130,25.6622809642715
19,9,2436,516,73,62,-0.142304641065541
19,2,1918,860,135,70,35.8293935646795
19,19,3312,743,40,33,14.6336384617022
19,5,2491,404,86,49,1.47852871732433
19,16,1587,1402,48,48,30.2599278143893
20,12,3468,1911,176,97,3.71725467037917
20,6,2477,456,88,50,1.96048557916595
20,13,1840,1311,40,91,11.8223350840187
20,4,2391,391,83,51,0.835180092462254
20,8,2527,643,75,65,1.49117864984921
20,10,2692,661,91,61,1.67199069082903
20,15,3632,647,109,43,2.44846381860469
20,14,1598,1410,109,47,26.8387448835262
20,11,2310,612,92,134,1.2486875845463
20,3,2300,995,134,71,37.263149323967
20,7,2825,648,84,60,-0.036515187690663
20,1,2427,1477,95,130,25.378868172038
20,9,2436,516,73,62,-0.170336222363062
20,2,1930,861,134,70,35.7583258304157
20,19,3316,743,36,33,12.1941311435952
20,5,2491,404,86,49,1.22757105762335
21,12,3468,1911,176,97,3.05164283687241
21,6,2477,456,88,50,1.69740221279715
21,13,1841,1306,41,89,12.4702046767176
21,4,2391,391,83,52,0.65451834981214
21,8,2527,643,75,65,1.24851696264486
21,10,2693,661,92,61,1.97563667201656
21,15,3631,646,105,40,2.88124715582369
21,14,1604,1413,110,45,25.5378181039167
