Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
62,1,2534,1832,93,132,26.6786382341553,3.0,10.0,1.2793395323170296,0.9881197976392265,0.9743076160394043,0.945325630120678,0.8874282057926284,0.7823371728604626,0.6210343852286536,0.42764731505157233,0.25410179962229756,N
63,1,2536,1841,93,132,26.7715908620014,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
64,1,2538,1849,92,131,26.3842122438658,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
65,1,2540,1858,92,132,26.4919373392368,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
66,1,2543,1867,92,131,26.7153186671727,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
67,1,2545,1875,94,132,26.3212053152211,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
68,1,2547,1884,94,132,26.4242131120443,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
69,1,2550,1893,94,131,26.6446487963243,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
70,1,2553,1903,93,131,27.3001129025453,3.0,10.0,1.2793395323170296,0.9881197976392265,0.9743076160394043,0.945325630120678,0.8874282057926284,0.7823371728604626,0.6210343852286536,0.42764731505157233,0.25410179962229756,N
71,1,2555,1911,93,131,26.8426346777688,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
