Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
54,1,2515,1762,94,131,26.0000931768737,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
55,1,2518,1771,94,129,26.3044227476122,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
56,1,2520,1780,95,129,26.4501857491382,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
57,1,2522,1788,96,131,26.1115596126833,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
58,1,2524,1796,97,130,25.7977995808492,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
59,1,2526,1805,97,132,25.9757594849409,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
60,1,2529,1814,96,132,26.2654428775382,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
61,1,2531,1822,95,132,25.9332859134925,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
62,1,2534,1832,93,132,26.6786382341553,3.0,10.0,1.2793395323170296,0.0001339245625917053,0.0004329172763423883,0.001862090715282231,0.012742306785072877,0.1857243823724418,0.9856823351548507,0.9993870377046337,0.39072904988948576,W
63,1,2536,1841,93,132,26.7715908620014,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
64,1,2538,1849,92,131,26.3842122438658,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
65,1,2540,1858,92,132,26.4919373392368,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
66,1,2543,1867,92,131,26.7153186671727,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
67,1,2545,1875,94,132,26.3212053152211,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
68,1,2547,1884,94,132,26.4242131120443,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
69,1,2550,1893,94,131,26.6446487963243,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
70,1,2553,1903,93,131,27.3001129025453,3.0,10.0,1.2793395323170296,0.0001339245625917053,0.0004329172763423883,0.001862090715282231,0.012742306785072877,0.1857243823724418,0.9856823351548507,0.9993870377046337,0.39072904988948576,W
71,1,2555,1911,93,131,26.8426346777688,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
72,1,2557,1920,93,132,26.8850022717002,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
73,1,2560,1929,93,132,27.0479776932739,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
74,1,2562,1939,93,132,27.5334368894248,2.0,10.0,1.373400766945016,0.00011803425883991967,0.00037142529473661374,0.0015329829144900514,0.009782868399501871,0.12969032282633305,0.9603026257908996,0.9999407354834031,0.5260130905845298,W
75,1,2565,1948,94,134,27.6303862624321,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
76,1,2567,1957,94,132,27.5833925425122,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
77,1,2570,1967,96,132,28.1181235688593,3.0,10.0,1.2793395323170296,0.0001339245625917053,0.0004329172763423883,0.001862090715282231,0.012742306785072877,0.1857243823724418,0.9856823351548507,0.9993870377046337,0.39072904988948576,W
78,1,2572,1975,97,133,27.5477193986505,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
79,1,2574,1984,96,135,27.4853359565068,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
80,1,2577,1994,95,134,28.0086532770339,3.0,10.0,1.2793395323170296,0.0001339245625917053,0.0004329172763423883,0.001862090715282231,0.012742306785072877,0.1857243823724418,0.9856823351548507,0.9993870377046337,0.39072904988948576,W
81,1,2580,2004,94,133,28.4813009037466,3.0,10.0,1.2793395323170296,0.0001339245625917053,0.0004329172763423883,0.001862090715282231,0.012742306785072877,0.1857243823724418,0.9856823351548507,0.9993870377046337,0.39072904988948576,W
82,1,2583,2013,94,132,28.4479298430757,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
83,1,2585,2022,93,132,28.2799971632943,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
84,1,2587,2031,94,133,28.1186634499233,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
85,1,2590,2040,94,133,28.0932530120578,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
86,1,2593,2050,95,133,28.521946217815,3.0,10.0,1.2793395323170296,0.0001339245625917053,0.0004329172763423883,0.001862090715282231,0.012742306785072877,0.1857243823724418,0.9856823351548507,0.9993870377046337,0.39072904988948576,W
87,1,2596,2059,96,132,28.4512501125757,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
88,1,2599,2070,97,133,29.2973629948976,3.0,11.0,1.3045442776439713,0.00012943394048452934,0.00041534520748561643,0.001766443319779709,0.011858220059101733,0.1686681234259933,0.980796294735061,0.9996436419883061,0.4250325439662237,W
89,1,2602,2080,96,135,29.601468922859,3.0,10.0,1.2793395323170296,0.0001339245625917053,0.0004329172763423883,0.001862090715282231,0.012742306785072877,0.1857243823724418,0.9856823351548507,0.9993870377046337,0.39072904988948576,W
90,1,2604,2088,96,134,28.8165036243706,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
91,1,2608,2095,95,128,28.0018011194999,4.0,7.0,1.0516502125483738,0.00018391801253281193,0.0006380437641661303,0.0030650515091157488,0.025359581167410057,0.42503895903417205,0.9996432668686351,0.9807910429818677,0.16867443545044036,SW
92,1,2610,2101,95,119,26.4221149437809,2.0,6.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
93,1,2611,2106,94,109,24.3972576123161,1.0,5.0,1.373400766945016,0.00011803425883991967,0.00037142529473661374,0.0015329829144900514,0.009782868399501871,0.12969032282633305,0.9603026257908996,0.9999407354834031,0.5260130905845298,W
94,1,2613,2111,94,101,22.7017658884152,2.0,5.0,1.1902899496825317,0.00015131354634842725,0.0005023412008613936,0.0022519040564783093,0.01653729343808804,0.26016314166285726,0.9956105403357347,0.9969717737142451,0.28476948865055907,W
95,1,2615,2115,92,90,20.7443442396173,2.0,4.0,1.1071487177940904,0.00016996886693444616,0.0005791388603991162,0.0027041235665991536,0.02130068553062607,0.35190842905773045,0.9988901857903,0.9901570815051386,0.20846645851081255,SW
96,1,2616,2119,90,80,18.8278765418675,1.0,4.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
