Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
28,1,2449,1545,95,130,26.0597035709848,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
29,1,2450,1552,94,130,25.1706514322784,1.0,7.0,1.4288992721907328,0.0006799092633207384,0.01879309114080925,0.19109838571564156,0.7148704341491696,0.9838052912837979,0.4980838442376251,0.09276992837357224,9.049305516140902e-06,S
30,1,2453,1560,96,131,25.0963499314435,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
31,1,2456,1569,97,130,25.4928423054899,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
32,1,2459,1577,96,131,25.3938987454927,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
33,1,2462,1585,94,131,25.3043216957701,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
34,1,2464,1594,95,131,25.549932877343,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
35,1,2467,1603,96,130,25.9023171370651,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
36,1,2470,1611,97,130,25.7679653246677,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
37,1,2474,1619,95,131,25.8352678987612,4.0,8.0,1.1071487177940904,0.0029889753409488968,0.05484711991605562,0.37025231485185855,0.9195052107602373,0.8400846717083019,0.28236078236563344,0.03491388192499474,5.992434560471956e-05,SE
38,1,2476,1627,95,131,25.5596001315566,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
39,1,2478,1635,96,131,25.3067910786345,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
40,1,2480,1644,97,131,25.543439096582,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
41,1,2482,1651,97,133,24.8305984816818,2.0,7.0,1.2924966677897853,0.0012999752506505625,0.030204858569767307,0.2581808870446484,0.8118521228724469,0.9391508004490997,0.3996679252606191,0.06257038396446252,2.0582537771708204e-05,S
42,1,2485,1660,96,133,25.2395074199417,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
43,1,2487,1669,94,132,25.4882870221927,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
44,1,2490,1677,93,130,25.3924640205927,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
45,1,2492,1685,94,132,25.162196829933,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
46,1,2495,1693,94,133,25.0956922230115,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
47,1,2498,1702,95,131,25.488974177923,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
48,1,2500,1710,96,132,25.2545031478264,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
49,1,2502,1719,96,131,25.5069238235171,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
50,1,2505,1728,94,130,25.8657903702636,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
51,1,2508,1736,93,130,25.7397790433928,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
52,1,2510,1745,94,132,25.9456787941457,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
53,1,2512,1753,94,131,25.6646347576644,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
54,1,2515,1762,94,131,26.0000931768737,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
55,1,2518,1771,94,129,26.3044227476122,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
56,1,2520,1780,95,129,26.4501857491382,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
57,1,2522,1788,96,131,26.1115596126833,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
58,1,2524,1796,97,130,25.7977995808492,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
59,1,2526,1805,97,132,25.9757594849409,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
60,1,2529,1814,96,132,26.2654428775382,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
61,1,2531,1822,95,132,25.9332859134925,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
62,1,2534,1832,93,132,26.6786382341553,3.0,10.0,1.2793395323170296,0.0013816927069951644,0.031569718217766336,0.26536142686409137,0.8205644821342358,0.9334594429251842,0.390648350368066,0.060142894237616984,2.224641774621393e-05,S
63,1,2536,1841,93,132,26.7715908620014,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
64,1,2538,1849,92,131,26.3842122438658,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
65,1,2540,1858,92,132,26.4919373392368,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
66,1,2543,1867,92,131,26.7153186671727,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
67,1,2545,1875,94,132,26.3212053152211,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
68,1,2547,1884,94,132,26.4242131120443,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
69,1,2550,1893,94,131,26.6446487963243,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
70,1,2553,1903,93,131,27.3001129025453,3.0,10.0,1.2793395323170296,0.0013816927069951644,0.031569718217766336,0.26536142686409137,0.8205644821342358,0.9334594429251842,0.390648350368066,0.060142894237616984,2.224641774621393e-05,S
71,1,2555,1911,93,131,26.8426346777688,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
72,1,2557,1920,93,132,26.8850022717002,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
73,1,2560,1929,93,132,27.0479776932739,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
74,1,2562,1939,93,132,27.5334368894248,2.0,10.0,1.373400766945016,0.0008882944163922766,0.022878362101769877,0.21677128427837294,0.7555920446770618,0.968906319949478,0.45707236837059095,0.07932259144136403,1.2688134635961344e-05,S
75,1,2565,1948,94,134,27.6303862624321,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
76,1,2567,1957,94,132,27.5833925425122,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
77,1,2570,1967,96,132,28.1181235688593,3.0,10.0,1.2793395323170296,0.0013816927069951644,0.031569718217766336,0.26536142686409137,0.8205644821342358,0.9334594429251842,0.390648350368066,0.060142894237616984,2.224641774621393e-05,S
78,1,2572,1975,97,133,27.5477193986505,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
79,1,2574,1984,96,135,27.4853359565068,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
80,1,2577,1994,95,134,28.0086532770339,3.0,10.0,1.2793395323170296,0.0013816927069951644,0.031569718217766336,0.26536142686409137,0.8205644821342358,0.9334594429251842,0.390648350368066,0.060142894237616984,2.224641774621393e-05,S
